순위,제목,알라딘_저자,알라딘_출판사,알라딘_출간일,알라딘_별점,알라딘_장르,상명장르,알라딘_가격
"

47.  
",인생 언리얼 교과서,"이영호, 박원석, 박현상 (지은이) ", 성안당 , 2022년 7월,4.5,좋은 부모,컴퓨터/인터넷,47200
"

48.  
",비전공이지만 개발자로 먹고삽니다,"반병현, 이효석 (지은이) ", 생능북스 , 2023년 1월,5.0,좋은 부모,컴퓨터/인터넷,15200
"

49.  
",Do it! 스위프트로 아이폰 앱 만들기 입문,"송호정, 이범근 (지은이) ", 이지스퍼블리싱 , 2023년 1월,5.0,좋은 부모,컴퓨터/인터넷,23000
"

50.  
",Do it! 깡샘의 플러터 & 다트 프로그래밍,강성윤 (지은이) , 이지스퍼블리싱 (주) , 2023년 2월,0.0,좋은 부모,컴퓨터/인터넷,30000
"

51.  
",NGINX 쿡북,"데릭 디용기 (지은이), 노승헌 (옮긴이) ", 한빛미디어 , 2023년 1월,5.0,좋은 부모,컴퓨터/인터넷,15120
"

52.  
",실전에서 바로 쓰는 Next.js,"미셸 리바 (지은이), 박수현 (옮긴이) ", 한빛미디어 , 2023년 2월,0.0,좋은 부모,컴퓨터/인터넷,20800
"

53.  
",맛있는 디자인 프리미어 프로 & 애프터 이펙트 CC 2023,"윤성우, 김덕영, 심수진 (지은이) ", 한빛미디어 , 2023년 2월,5.0,좋은 부모,컴퓨터/인터넷,19200
"

54.  
",맛있는 디자인 포토샵 & 일러스트레이터 CC 2023,"빨간고래(박정아), 윤이사라(포완카) (지은이) ", 한빛미디어 , 2023년 2월,5.0,좋은 부모,컴퓨터/인터넷,18400
"

55.  
",퍼포먼스 마케팅 첫걸음 : 취업부터 실무까지,이다혜 (지은이) , 비제이퍼블릭 , 2023년 2월,0.0,좋은 부모,컴퓨터/인터넷,22000
"

56.  
",Do it! 점프 투 파이썬 -전면 개정판,박응용 (지은이) , 이지스퍼블리싱 , 2019년 6월,4.5,좋은 부모,컴퓨터/인터넷,13000
"

57.  
",객체지향의 사실과 오해,조영호 (지은이) , 위키북스 , 2021년 7월,4.5,좋은 부모,컴퓨터/인터넷,15000
"

58.  
",헤드 퍼스트 디자인 패턴,"케이시 시에라, 버트 베이츠, 엘리자베스 롭슨 (지은이) ", 한빛미디어 , 2022년 4월,5.0,좋은 부모,컴퓨터/인터넷,25920
"

59.  
",프로그래머의 뇌,"펠리너 헤르만스 (지은이), 차건회 (옮긴이) ", 제이펍 , 2022년 3월,4.5,좋은 부모,컴퓨터/인터넷,16800
"

60.  
",빅데이터 커리어 가이드북,"조성준, 김현용, 박서영 (지은이) ", 길벗 , 2021년 11월,5.0,좋은 부모,컴퓨터/인터넷,14000
"

61.  
",인스파이어드,"마티 케이건 (지은이), 황진수 (옮긴이) ", 제이펍 , 2020년 1월,4.0,좋은 부모,컴퓨터/인터넷,16800
"

62.  
",혼자 공부하는 자바,신용권 (지은이) , 한빛미디어 , 2021년 7월,4.5,좋은 부모,컴퓨터/인터넷,17280
"

63.  
",실용주의 프로그래머 20주년 기념판,"데이비드 토머스, 앤드류 헌트 (지은이), 김창준 (감수) ", 인사이트 , 2022년 3월,4.5,좋은 부모,컴퓨터/인터넷,26400
"

64.  
",비전공자도 이해할 수 있는 AI 지식,"박상길 (지은이), 정진호 (그림) ", 반니 , 2022년 8월,5.0,좋은 부모,컴퓨터/인터넷,13000
"

65.  
",Do it! 쉽게 배우는 R 데이터 분석,김영우 (지은이) , 이지스퍼블리싱 (주) , 2017년 7월,5.0,좋은 부모,컴퓨터/인터넷,14000
"

66.  
",쏙쏙 들어오는 함수형 코딩,"에릭 노먼드 (지은이), 김은민 (옮긴이) ", 제이펍 , 2022년 6월,4.5,좋은 부모,컴퓨터/인터넷,24500
"

67.  
",오토캐드 40시간 완성,신동진 (지은이) , 피앤피북 , 2021년 4월,5.0,좋은 부모,컴퓨터/인터넷,8900
"

68.  
",HTTP 완벽 가이드,"데이빗 고울리, 브라이언 토티, 마조리 세이어 (지은이) ", 인사이트 , 2022년 5월,4.0,좋은 부모,컴퓨터/인터넷,31200
"

69.  
",스프링 부트 핵심 가이드,장정우 (지은이) , 위키북스 , 2022년 8월,5.0,좋은 부모,컴퓨터/인터넷,20000
"

70.  
",UX/UI의 10가지 심리학 법칙,"존 야블론스키 (지은이), 이미령 (옮긴이) ", 책만 , 2020년 11월,4.5,좋은 부모,컴퓨터/인터넷,12800
"

71.  
",코딩자율 학습 나도코딩의 C언어 입문,나도코딩 (지은이) , 길벗 , 2022년 10월,5.0,좋은 부모,컴퓨터/인터넷,20800
"

72.  
",자신 있어! 아이패드 갤럭시 탭 드로잉,이솔기 (지은이) , 중앙books(중앙북스) , 2021년 5월,5.0,좋은 부모,컴퓨터/인터넷,13600
