제목,kyobo_순위,kyobo_저자,kyobo_출판사,kyobo_발매일,kyobo_가격,kyobo_평점,kyobo_장르,상명대학교_학술정보관_장르
삼미 슈퍼스타즈의 마지막 팬클럽,88,박민규,한겨레출판사,2022.01.18 (종이책 출간 2020.12.31),"9,936",9.2,소설,소설
비상문,89,최진영,미메시스,2020.03.11 (종이책 출간 2018.09.01),"5,400",9.7,소설,소설
도쿄 한복판의 유력 용의자,90,고호,델피노,2023.02.27 (종이책 출간 2023.02.27),"9,765",0,소설,소설
이방인,91,알베르 카뮈,현대지성,2023.02.21 (종이책 출간 2023.02.20),"3,960",8.8,소설,소설
백화,92,가와무라 겐키,소미미디어,2023.02.15 (종이책 출간 2022.12.22),"9,720",0,소설,소설
핸디맨,93,프리다 맥파든,북플라자,2023.02.03 (종이책 출간 2023.02.01),"10,350",10,소설,소설
이상 - 권태,94,이상,9의예술,2023.01.03,900,0,소설,소설
어린 왕자,95,앙투안 드 생텍쥐페리,새움,2022.12.20 (종이책 출간 2017.09.22),"5,040",0,소설,소설
인버스,96,단요,교보문고,2022.12.21 (종이책 출간 2022.12.16),"9,450",9.3,소설,소설
"오늘 밤, 세계에서 이 눈물이 사라진다 해도",97,이치조 미사키,모모,2022.08.26,"9,000",9.8,소설,소설
흔적을 지워드립니다,98,마에카와 호마레,라곰,2022.11.15 (종이책 출간 2022.10.24),"10,800",10,소설,소설
괘서,99,이작,마카롱,2022.12.09,"4,500",10,소설,소설
달팽이 식당,100,오가와 이토,알에이치코리아,2022.11.22 (종이책 출간 2022.11.01),"10,395",9.6,소설,소설
미국인 사용빈도 다반사 영어회화 구동사,1,김아영,사람in,2023.02.06 (종이책 출간 2023.02.02),"11,340",10,국어/외국어,국어/외국어
거의 모든 일상 표현의 영어,2,케빈 강,사람in,2022.11.03 (종이책 출간 2022.10.26),"10,710",10,국어/외국어,국어/외국어
비즈니스 영어회화 & 이메일 표현사전,3,이지윤,길벗이지톡,2023.02.08 (종이책 출간 2023.01.30),"18,000",10,국어/외국어,국어/외국어
2023 해커스 토익 실전 1000제 1 RC Reading(리딩) 문제집,4,해커스 어학연구소,해커스어학연구소,2023.01.02 (종이책 출간 2023.01.02),"8,568",9.6,국어/외국어,국어/외국어
서울대 한국어 1B Workbook(멀티eBook),5,서울대학교 언어교육원,투판즈,2021.04.26 (종이책 출간 2013.03.01),"10,530",9.7,국어/외국어,국어/외국어
[epub3.0]스피킹 매트릭스 3분 영어 말하기(2020 개정판),6,김태윤,길벗이지톡,2020.06.11 (종이책 출간 2020.05.30),"7,560",9.9,국어/외국어,국어/외국어
영어회화 핵심패턴 233,7,백선엽,길벗이지톡,2023.01.19 (종이책 출간 2023.01.15),"12,960",10,국어/외국어,국어/외국어
키라키라 일본어 STEP. 4,8,하세가와 유미,씨앤톡,2008.08.30 (종이책 출간 2008.05.20),"4,500",0,국어/외국어,국어/외국어
서울대 한국어 2B Workbook(멀티eBook),9,서울대학교 언어교육원,투판즈,2021.05.24 (종이책 출간 2013.05.01),"10,530",9.6,국어/외국어,국어/외국어
예의 바른 비즈니스 영어 이메일&채팅,10,Yoshitaka Matsuura,베이직북스,2023.01.20 (종이책 출간 2023.01.20),"8,640",10,국어/외국어,국어/외국어
2023 해커스 토익 실전 1000제 1 LC Listening(리스닝) 문제집,11,해커스 어학연구소,해커스어학연구소,2023.01.02 (종이책 출간 2023.01.02),"8,568",10,국어/외국어,국어/외국어
The 바른 그리스어 첫걸음,12,권세라,ECKBOOKS,2021.08.03 (종이책 출간 2019.10.28),"18,000",9.4,국어/외국어,국어/외국어
여행영어 10분의 기적,13,해커스어학연구소,해커스어학연구소,2020.05.08 (종이책 출간 2019.01.02),"6,615",9.6,국어/외국어,국어/외국어
거의 모든 행동 표현의 영어,14,서영조,사람in,2022.03.16 (종이책 출간 2022.03.10),"10,080",9.8,국어/외국어,국어/외국어
거의 모든 숫자 표현의 영어,15,onathan Davis,사람in,2020.06.04 (종이책 출간 2020.06.03),"9,450",10,국어/외국어,국어/외국어
영어회화 100일의 기적,16,문성현,넥서스,2023.01.21 (종이책 출간 2022.09.05),"9,450",10,국어/외국어,국어/외국어
[epub3.0]일본어 무작정 따라하기 - 완전판,17,후지이 아사리,길벗이지톡,2022.08.26 (종이책 출간 2022.08.05),"16,380",10,국어/외국어,국어/외국어
입트영 + 귀트영 세트(EBS 방송교재 2023년 2월호),18,"이현석, 제니퍼 클라이드",EBS한국교육방송공사,2023.01.27,"15,840",6.3,국어/외국어,국어/외국어
"법률 사전에 문자 그대로 번역된 라틴어 격언과 구절 모음집. The Book of A collection of Latin maxims and phrases literally translated, by John N. Cotterell",19,John N. Cotterell,뉴가출판사,2022.07.08,"18,000",0,국어/외국어,국어/외국어
새 연세한국어 어휘와 문법 6-2(멀티eBook),20,연세대학교 한국어학당,연세대학교출판문화원,2021.02.15,"18,000",0,국어/외국어,국어/외국어
새 연세한국어 어휘와 문법 4-2(멀티eBook),21,연세대학교 한국어학당,연세대학교출판문화원,2020.06.30,"18,000",2.5,국어/외국어,국어/외국어
영어회화 이디엄 3,22,김아영,사람in,2022.05.27 (종이책 출간 2022.05.27),"10,710",10,국어/외국어,국어/외국어
서울대 한국어 3B Workbook,23,서울대학교 언어교육원,투판즈,2021.06.11 (종이책 출간 2015.12.30),"10,530",10,국어/외국어,국어/외국어
매일쓰는 미국 영어 회화 100(원어민 100인 선정),24,룩룩잉글리쉬,넥서스,2020.06.26 (종이책 출간 2020.05.29),"7,830",10,국어/외국어,국어/외국어
영단어 이미지 기억법,25,전왕,북랩,2022.12.23 (종이책 출간 2022.12.23),"13,860",10,국어/외국어,국어/외국어
2023 한국어능력시험 TOPIK1(토픽1) 실전 모의고사,26,정은화,시대고시기획,2023.01.05 (종이책 출간 2023.01.05),"10,710",10,국어/외국어,국어/외국어
해커스 구문독해 100: 100개 필수구문으로 영어 직독직해,27,해커스 어학연구소,해커스어학연구소,2022.10.25 (종이책 출간 2021.03.15),"13,770",9.7,국어/외국어,국어/외국어
Korean Grammar in Use - Beginning (English ver.)(영어판),28,안진명(安辰明),다락원,2016.06.26,"13,230",0,국어/외국어,국어/외국어
DELF 프랑스어 문법연구,29,김진수,SAMJIBOOKS,2015.07.23 (종이책 출간 2013.01.25),"7,560",8.4,국어/외국어,국어/외국어
이화 한국어 6,30,이수행,Epress,2020.06.17 (종이책 출간 2012.09.12),"23,400",10,국어/외국어,국어/외국어
해커스 첫토익 LC+RC+VOCA,31,해커스 어학연구소,해커스어학연구소,2022.09.01 (종이책 출간 2021.12.13),"10,728",9.8,국어/외국어,국어/외국어
그래머 게이트웨이 베이직: 초보를 위한 기초 영문법(Grammar Gateway Basic),32,David Cho,해커스어학연구소,2022.08.10 (종이책 출간 2022.02.14),"9,387",9.8,국어/외국어,국어/외국어
영어 스피킹 기적의 영단어 100,33,윌리엄 A. 반스,로그인,2020.07.31 (종이책 출간 2012.08.15),"9,765",9.6,국어/외국어,국어/외국어
거의 모든 행동 표현의 일본어,34,서영조,사람in,2022.07.14 (종이책 출간 2022.07.01),"10,395",10,국어/외국어,국어/외국어
착! 붙는 일본어 독학 첫걸음,35,일본어 공부기술연구소,시사일본어사,2021.02.26 (종이책 출간 2015.10.15),"8,820",9.6,국어/외국어,국어/외국어
영문법 콘서트,36,박상효,성안당,2018.12.31 (종이책 출간 2018.06.05),"10,800",9.6,국어/외국어,국어/외국어
세진 쌤의 바로 영어,37,박세진,다락원,2021.11.30 (종이책 출간 2021.09.15),"9,450",9.7,국어/외국어,국어/외국어
생각이 바뀌다 습관이 바뀌다 : 교정영어 14일의 홈트,38,한숙종 스텔라,UR Books,2021.01.12 (종이책 출간 2020.09.25),"8,820",10,국어/외국어,국어/외국어
[epub3.0]유하다요의 10시간 일본어 단어,39,전유하(유하다요),길벗이지톡,2022.05.05 (종이책 출간 2022.04.01),"10,080",10,국어/외국어,국어/외국어
예의 바른 비즈니스 영어,40,Hyogo Okada,베이직북스,2022.02.07 (종이책 출간 2021.12.20),"8,640",9.6,국어/외국어,국어/외국어
나의 하루 1줄 스페인어 쓰기 수첩: 중급문장 100,41,권진영(Yessi),시대인,2021.02.05 (종이책 출간 2021.01.20),"7,650",10,국어/외국어,국어/외국어
2023 해커스 토익 실전 1000제 1 RC Reading(리딩) 해설집,42,해커스 어학연구소,해커스어학연구소,2023.01.02 (종이책 출간 2023.01.02),"12,888",8.8,국어/외국어,국어/외국어
영어가 술술 나오는 만능패턴 100,43,세리나 황,교보문고,2023.01.06 (종이책 출간 2022.12.29),"8,190",10,국어/외국어,국어/외국어
해커스일본어 JLPT 일본어능력시험 실전모의고사 N2(5회분),44,해커스 JLPT 연구소,해커스어학연구소,2022.11.22 (종이책 출간 2022.06.14),"12,060",0,국어/외국어,국어/외국어
새 연세한국어 말하기와 쓰기 4-2,45,연세대학교한국어학당,연세대학교출판문화원,2020.06.30,"11,700",0,국어/외국어,국어/외국어
기초 중국어,46,강선주,신아사,2015.11.17 (종이책 출간 2015.08.30),"9,000",0,국어/외국어,국어/외국어
이화 한국어 Workbook. 4,47,허연임,Epress,2020.06.26 (종이책 출간 2012.02.29),"12,600",10,국어/외국어,국어/외국어
예의 바른 영어 표현,48,구슬,사람in,2021.01.04 (종이책 출간 2021.01.04),"9,450",9.8,국어/외국어,국어/외국어
미국 영어발음 무작정 따라하기,49,오경은,길벗이지톡,2016.01.26 (종이책 출간 2015.10.25),"10,080",9.5,국어/외국어,국어/외국어
일본어 한자 무작정 따라하기,50,정선영,길벗이지톡,2013.09.30 (종이책 출간 2011.08.20),"10,080",9.6,국어/외국어,국어/외국어
노력이 필요 없는 영어,51,A. J. 호그,아마존북스,2021.09.27 (종이책 출간 2021.08.25),"11,700",9.3,국어/외국어,국어/외국어
New 가나다 Korean for Chinese. 1: 중국어,52,가나다 한국어학원,한글파크,2021.01.28 (종이책 출간 2010.09.02),"22,500",0,국어/외국어,국어/외국어
일본어능력시험 JLPT 단어장 N4(2018),53,JLPT연구모임,시사일본어사,2021.08.04 (종이책 출간 2018.09.15),"9,135",8.9,국어/외국어,국어/외국어
내게는 특별한 프랑스어 어휘를 부탁해,54,이경자,다락원,2016.09.09 (종이책 출간 2014.11.06),"10,395",9.7,국어/외국어,국어/외국어
기적의 5분 영단어,55,주경일,비에이블,2020.07.17 (종이책 출간 2020.05.28),"10,395",9.5,국어/외국어,국어/외국어
NEW TEPS 뉴텝스 실력편(실전 400+) 문법(해설서),56,넥서스 TEPS 연구소,넥서스에듀,2021.01.21 (종이책 출간 2018.08.05),"9,450",8.7,국어/외국어,국어/외국어
줄리정's 불법 IELTS VOCA(2019),57,줄리정,써니썬데이(Sunny Sunday),2018.11.01 (종이책 출간 2018.09.01),"13,410",8.6,국어/외국어,국어/외국어
NEW 줄리정 불법 아이엘츠(2021 대비),58,줄리정,써니썬데이(Sunny Sunday),2018.05.17 (종이책 출간 2014.11.05),"17,910",9.8,국어/외국어,국어/외국어
하하 패턴 태국어로 쉽게 말하기,59,최가을,Pub.365,2018.08.02 (종이책 출간 2018.07.21),"9,810",9.4,국어/외국어,국어/외국어
입이 터질 수밖에 없는 영어회화,60,이근철,로그인,2021.12.03 (종이책 출간 2021.11.10),"9,450",9.7,국어/외국어,국어/외국어
비즈니스 중국어 통번역(한중편),61,김정은,시대고시기획,2020.06.29 (종이책 출간 2018.03.05),"14,400",9.2,국어/외국어,국어/외국어
The Silver Shilling,62,한스 크리스티안 안데르센,바로이북,2023.02.25,450,0,국어/외국어,국어/외국어
제시카의 힙한 톡톡 영어 표현,63,Jessica 황,시대고시기획,2023.02.06 (종이책 출간 2023.02.06),"10,710",10,국어/외국어,국어/외국어
나혼자 끝내는 독학 스페인어 첫걸음 한 걸음 더,64,임창희,넥서스,2023.02.03 (종이책 출간 2023.02.01),"12,330",10,국어/외국어,국어/외국어
귀가 트이는 영어(EBS 방송교재 2023년 2월 + 2023년 1월),65,"이현석, 피터 빈트",EBS한국교육방송공사,2023.01.27,"15,840",0,국어/외국어,국어/외국어
영어회화 핵심패턴 233: 중고급편,66,조이스 백,길벗이지톡,2023.02.17 (종이책 출간 2023.01.15),"12,960",9,국어/외국어,국어/외국어
2023 해커스 토익 실전 1000제 1 LC Listening(리스닝) 해설집,67,해커스 어학연구소,해커스어학연구소,2023.01.02 (종이책 출간 2023.01.02),"11,448",9.2,국어/외국어,국어/외국어
해커스 TSC 3급 “니하오”를 몰라도 20일 만에 딸 수 있다!,68,해커스 중국어연구소,해커스어학연구소,2022.12.26,"13,680",0,국어/외국어,국어/외국어
나혼자 끝내는 독학 일본어 첫걸음,69,넥서스콘텐츠개발팀,넥서스JAPANESE,2022.12.20 (종이책 출간 2023.01.03),"9,450",10,국어/외국어,국어/외국어
새 연세한국어 듣기와 읽기 6-2,70,연세대학교 한국어학당 교재편찬위원회,연세대학교출판문화원,2022.12.09 (종이책 출간 2022.11.30),"11,700",0,국어/외국어,국어/외국어
새 연세한국어 듣기와 읽기 6-1,71,연세대학교 한국어학당 교재편찬위원회,연세대학교출판문화원,2022.12.09 (종이책 출간 2022.11.30),"11,700",0,국어/외국어,국어/외국어
새 연세한국어 말하기와 쓰기 6-2,72,연세대학교 한국어학당 교재편찬위원회,연세대학교출판문화원,2022.12.09 (종이책 출간 2022.11.10),"11,700",0,국어/외국어,국어/외국어
새 연세한국어 말하기와 쓰기 6-1,73,연세대학교 한국어학당 교재편찬위원회,연세대학교출판문화원,2022.12.09 (종이책 출간 2022.11.10),"11,700",0,국어/외국어,국어/외국어
OPIc 오픽 Advanced 돌발문제 60,74,글로벌21 어학연구소,글로벌21,2022.11.15,"2,700",10,국어/외국어,국어/외국어
스타트 잉글리시 (EBS 방송교재 2021년 6월 + 2021년 5월),75,이보영,EBS한국교육방송공사,2021.05.25,"11,200",0,국어/외국어,국어/외국어
스타트 잉글리시(EBS 방송교재 2021년 4월 + 2021년 3월),76,이보영,EBS한국교육방송공사,2021.03.25,"9,500",0,국어/외국어,국어/외국어
스타트 잉글리시(EBS 방송교재 2021년 2월 + 2021년 1월),77,이보영,EBS한국교육방송공사,2021.01.26,"7,800",10,국어/외국어,국어/외국어
스타트 잉글리시(EBS 방송교재 2020년 12월 + 2020년 11월),78,이보영,EBS한국교육방송공사,2020.11.26,"7,800",0,국어/외국어,국어/외국어
스타트 잉글리시 (EBS 방송교재 2020년 10월 + 2020년 9월),79,이보영,EBS한국교육방송공사,2020.09.28,"7,800",0,국어/외국어,국어/외국어
스타트 잉글리시(EBS 방송교재 2020년 8월 + 2020년 7월),80,이보영,EBS한국교육방송공사,2020.07.24,"7,800",0,국어/외국어,국어/외국어
POWER ENGLISH(EBS 방송교재 2020년 3월 + 2020년 2월),81,,EBS한국교육방송공사,2020.02.28,"7,800",10,국어/외국어,국어/외국어
프랑스어 회화 핵심패턴 233,82,박만규,길벗이지톡,2016.09.02 (종이책 출간 2015.02.20),"10,080",8.5,국어/외국어,국어/외국어
"영어다의어, 알맹이와 껍데기 5",83,권용현,메타포(Metaphor),2020.12.31,"8,010",10,국어/외국어,국어/외국어
외국인과 교제할 때 영어회화,84,이동만,신라출판사,2021.01.25,"1,710",0,국어/외국어,국어/외국어
스토리 일본어 쏙독새의 별 (일본어 원서 오디오북 1),85,미야자와 겐지,북펀치,2018.04.18,"1,170",9.4,국어/외국어,국어/외국어
거인 이야기 (독해 : 일본어로 읽는 세계명작 04),86,니이미 난키치,북펀치,2016.07.18,900,10,국어/외국어,국어/외국어
시원스쿨 기초 영어법,87,이시원,시원스쿨닷컴,2013.02.25 (종이책 출간 2012.12.10),"9,450",9.2,국어/외국어,국어/외국어
"직독직해로 읽는, 이상한 나라의 앨리스",88,루이스 캐럴,리치바닐라,2012.01.16,"5,310",0,국어/외국어,국어/외국어
출판 번역가로 먹고살기,89,김명철,왓북,2013.04.16 (종이책 출간 2011.11.20),"8,100",9.1,국어/외국어,국어/외국어
테마별 회화 프랑스단어 2300,90,김이슬 (엮음),비타민북,2016.10.24 (종이책 출간 2011.07.12),"7,200",8.8,국어/외국어,국어/외국어
유럽 5개국 여행회화,91,김복리,예스북,2017.03.21 (종이책 출간 2016.12.19),"6,300",2.5,국어/외국어,국어/외국어
가장 쉬운 프랑스어 첫걸음의 모든것,92,주장수,동양북스,2015.02.16 (종이책 출간 2011.04.20),"10,800",9,국어/외국어,국어/외국어
이화 한국어 3-1(Workbook),93,구재희,Epress,2020.06.25 (종이책 출간 2011.09.14),"9,000",10,국어/외국어,국어/외국어
