제목,저자,출판사,발매일,가격,평점,장르
10일 만에 끝내는 해커스 토익스피킹(토스),해커스 어학연구소,해커스어학연구소,2023.01.18 (종이책 출간 2022.05.30),"13,500원",9.5,국어/외국어
2023 해커스 토익 실전 1000제 2 RC Reading(리딩) 문제집,해커스 어학연구소,해커스어학연구소,2023.01.02 (종이책 출간 2023.01.02),"8,568원",9.8,국어/외국어
영어 발음 향상 훈련,케빈 강(강진호),사람in,2022.12.12 (종이책 출간 2022.12.12),"10,710원",9.5,국어/외국어
MC누리쌤의 듀오링고 테스트 고득점 비법서,MC누리쌤(전누리),웅진윙스,2022.09.27 (종이책 출간 2022.10.07),"12,510원",10,국어/외국어
DELF 델프 A2 듣기,정일영,신아사,2018.04.06 (종이책 출간 2017.06.25),"10,800원",0,국어/외국어
프랑스어 문법,김진수,삼지사,2011.07.15 (종이책 출간 1999.04.20),"6,480원",10,국어/외국어
데일카네기 인간관계론(영한대역 주석판),데일 카네기,리베르,2015.03.13 (종이책 출간 2010.12.30),"10,584원",9.8,국어/외국어
영어 문장의 결정적 패턴들,서영조,사람in,2021.08.09 (종이책 출간 2021.08.02),"9,450원",9.6,국어/외국어
서울대 한국어 4B Workbook(멀티eBook),서울대학교 언어교육원,투판즈,2021.06.24 (종이책 출간 2015.12.30),"10,530원",10,국어/외국어
서울대 한국어 1B Workbook(멀티eBook),서울대학교 언어교육원,투판즈,2021.04.26 (종이책 출간 2013.03.01),"10,530원",9.7,국어/외국어
지텔프 기출 문법 Level 2,성안당 지텔프 연구소,성안당,2021.12.15 (종이책 출간 2021.11.12),"9,225원",9,국어/외국어
어원으로 영단어 길들이기(하)(양장본 HardCover),박영로,디아콘,2022.03.17 (종이책 출간 2021.12.15),"6,300원",9.6,국어/외국어
비지니스 영어이메일 비즈니스 영어회화,아시아북스 편집부,아시아북스,2019.09.26 (종이책 출간 2017.05.18),"10,710원",9.6,국어/외국어
영어 단어 암기의 천재가 되는 비법,강균석,좋은땅,2021.07.23 (종이책 출간 2021.06.10),"7,560원",9.2,국어/외국어
나의 하루 1줄 독일어 쓰기 수첩,박주연,시대인,2020.11.20 (종이책 출간 2020.10.07),"7,650원",9.3,국어/외국어
2023 해커스 토익 실전 1000제 2 LC Listening(리스닝) 문제집,해커스 어학연구소,해커스어학연구소,2023.01.02 (종이책 출간 2023.01.02),"8,568원",9.5,국어/외국어
한국 문화 입문,최권진,박이정,2022.10.04 (종이책 출간 2022.03.10),"11,700원",10,국어/외국어
 최신개정판  JLPT(일본어능력시험) 한권으로 끝내기 N5,이치우,다락원,2020.04.14,"17,010원",7.5,국어/외국어
바로 talk 여행 프랑스어(ePub3.0),TPLE교재편집팀,도서출판 잇플 ITPLE,2019.08.05,"4,320원",7.5,국어/외국어
토마스와앤더스의 업그레이드 된 착한기초 영어회화,Thomas,경원북스,2018.08.07,"9,450원",0,국어/외국어
"영어 글쓰기 원칙(The Elements of Style, 영문 원서 포함)",윌리엄 스트렁크 주니어,블루프린트,2013.08.30,"3,600원",10,국어/외국어
팝송영어. 5,유현철,음악의향기,2015.10.30 (종이책 출간 2015.09.22),"4,500원",0,국어/외국어
해리포터 영단어,이현구,랭귀지북스,2010.07.22 (종이책 출간 2010.01.15),"3,240원",8.4,국어/외국어
해외출장 중국어회화(콤팩트),Enjc 스터디,랭컴,2009.01.14 (종이책 출간 2008.12.08),"3,240원",0,국어/외국어
동물농장(한글판+영문판) 세트,조지 오웰,반석출판사,2014.07.03 (종이책 출간 2007.01.10),"4,275원",10,국어/외국어
해커스 토익 실전 1000제 3 Listening(리스닝) 문제집,해커스 어학연구소,해커스어학연구소,2022.07.18 (종이책 출간 2022.06.28),"8,568원",9,국어/외국어
해커스 지텔프(G-TELP) 실전모의고사 청취 5회 Level 2(레벨2),해커스 어학연구소,해커스어학연구소,2022.07.22 (종이책 출간 2022.04.29),"7,497원",9.7,국어/외국어
여행영어 10분의 기적,해커스어학연구소,해커스어학연구소,2020.05.08 (종이책 출간 2019.01.02),"6,615원",9.6,국어/외국어
왕초보 영어회화 10분의 기적: 기초패턴으로 말하기,해커스어학연구소,해커스어학연구소,2020.05.08 (종이책 출간 2018.10.05),"8,037원",9.7,국어/외국어
해커스 토익 실전 LC+RC(모의고사+해설집),해커스어학연구소,해커스어학연구소,2020.05.08 (종이책 출간 2020.03.04),"12,168원",8.9,국어/외국어
스몰톡 영어회화,구슬,파고다북스,2020.12.07 (종이책 출간 2020.12.01),"9,360원",10,국어/외국어
예의 바른 영어 표현,구슬,사람in,2021.01.04 (종이책 출간 2021.01.04),"9,450원",9.8,국어/외국어
영어발음은 이런 것이다,케빈 강(강진호),사람in,2019.11.20 (종이책 출간 2019.10.10),"10,080원",9.6,국어/외국어
NEW 일본어능력시험 답다: N3(문법 독해),이종권,사람in,2013.07.10 (종이책 출간 2010.10.25),"8,190원",8.8,국어/외국어
영어회화 필수 단어 무작정 따라하기,오석태,길벗이지톡,2016.09.13 (종이책 출간 2016.08.15),"8,190원",7.9,국어/외국어
라이언 쌤 이렇게 가르쳐서 영어수업 대박 내다,박용호,성우,2007.06.01 (종이책 출간 2007.04.09),"4,680원",10,국어/외국어
토픽 어휘 2300,한후영,한글파크,2022.02.07 (종이책 출간 2016.11.10),"13,860원",10,국어/외국어
서울대 한국어 2B Workbook(멀티eBook),서울대학교 언어교육원,투판즈,2021.05.24 (종이책 출간 2013.05.01),"10,530원",9.6,국어/외국어
내게는 특별한 프랑스어 어휘를 부탁해,이경자,다락원,2016.09.09 (종이책 출간 2014.11.06),"10,395원",9.7,국어/외국어
일본어 잘하고 싶을 땐 다락원 독학 첫걸음,정의상,다락원,2019.05.14 (종이책 출간 2019.03.04),"9,450원",9.9,국어/외국어
Grammar Vista Level. 3,김해자,다락원,2018.08.01 (종이책 출간 2018.04.05),"9,140원",9.8,국어/외국어
호텔관광 실무일본어,구정대,이담북스,2016.05.24 (종이책 출간 2010.06.22),"5,400원",0,국어/외국어
TSC 기출 공식기본서,YBM 중국어연구소,YBM,2019.07.03 (종이책 출간 2019.03.08),"13,230원",9.5,국어/외국어
5일만에 끝내는 제인의 토익스피킹 콤보북 스타터,정하진,티처케이,2022.09.01 (종이책 출간 2022.08.01),"8,910원",0,국어/외국어
쉬운 단어로 1분 영어 말하기,에스텔,넥서스,2020.09.23 (종이책 출간 2020.08.28),"8,820원",9.9,국어/외국어
70패턴 인도네시아어로 쉽게 말하기: 초급과정,남효민,Pub365,2021.04.14 (종이책 출간 2021.04.10),"9,810원",8.4,국어/외국어
TOEFL Final Test Reading(어셔 iBT 토플 파이널 테스트 리딩),어셔어학연구소,어셔어학연구소,2020.07.13 (종이책 출간 2014.06.01),"21,600원",8,국어/외국어
바로 쓰는 영어,셀리,넥서스,2022.07.21 (종이책 출간 2022.07.20),"11,340원",9.4,국어/외국어
100% 네이티브 영국 영어,브릿센트,넥서스,2022.07.21 (종이책 출간 2022.07.20),"10,620원",9.9,국어/외국어
(교과서에 나오는) 일본어 단어 800  일본어 기초 단어,알바룩스일본어팀 편엮,유페이퍼,2017.01.03,"1,800원",10,국어/외국어
여행영어 100일의 기적,문성현,넥서스,2017.08.16 (종이책 출간 2017.06.20),"6,480원",9.3,국어/외국어
[epub3.0]시나공 HSK 6급,리우,길벗이지톡,2017.10.24 (종이책 출간 2017.08.10),"15,750원",9.2,국어/외국어
[ePub3.0]영어 리딩 무작정 따라하기(2017년개정판),이선욱,길벗이지톡,2017.04.04 (종이책 출간 2017.03.06),"9,450원",9.5,국어/외국어
비즈니스 영어 통번역(영한편),타임스미디어,시대고시기획,2020.06.29 (종이책 출간 2018.03.05),"14,400원",9.1,국어/외국어
패턴의 법칙 인도네시아어 첫걸음,"플로리안 후타갈룽 , 데위 실비아 리아디나",ECKBOOKS,2023.02.15,"16,200원",0,국어/외국어
귀가 트이는 영어(EBS 방송교재 2023년 2월 + 2023년 1월),"이현석, 피터 빈트",EBS한국교육방송공사,2023.01.27,"15,840원",0,국어/외국어
영어회화 핵심패턴 233: 중고급편,조이스백,길벗이지톡,2023.01.19 (종이책 출간 2023.01.15),"12,960원",10,국어/외국어
100일이면 나도 영어천재 1(올컬러 리커버판),이정은(갓주아),미다스북스,2023.01.10 (종이책 출간 2022.12.28),"13,500원",10,국어/외국어
2023 해커스 토익 실전 1000제 2 RC Reading(리딩) 해설집,해커스 어학연구소,해커스어학연구소,2023.01.02 (종이책 출간 2023.01.02),"12,888원",10,국어/외국어
영어가 술술 나오는 만능패턴 100,세리나 황,교보문고,2023.01.06 (종이책 출간 2022.12.29),"8,190원",10,국어/외국어
나혼자 끝내는 독학 일본어 첫걸음,넥서스콘텐츠개발팀,넥서스JAPANESE,2022.12.20 (종이책 출간 2023.01.03),"9,450원",10,국어/외국어
해커스 중국어 HSK 4급 한 권으로 합격,"리우윈, 해커스 HSK연구소",해커스,2022.12.14,"18,000원",0,국어/외국어
해커스 중국어 HSK 5급 한 권으로 정복,해커스 HSK연구소,해커스,2022.12.12,"19,350원",0,국어/외국어
해커스일본어 JLPT 일본어능력시험 실전모의고사 N2(5회분),해커스 JLPT 연구소,해커스어학연구소,2022.11.22 (종이책 출간 2022.06.14),"12,060원",0,국어/외국어
한 권으로 끝내는 숫자의 영어표현,장근섭,다락원,2022.11.25 (종이책 출간 2022.10.31),"9,900원",9.8,국어/외국어
토익 마법 2주의 기적 Reading,이교희,성안당,2022.11.16 (종이책 출간 2022.11.16),"13,590원",10,국어/외국어
OPIc(오픽) Advanced,글로벌21 어학연구소,더원,2022.11.15 (종이책 출간 2019.02.01),"8,550원",10,국어/외국어
잉글리시 리스타트 멀티eBook 3권 세트,I.A.Richards,뉴런,2019.11.14,"17,550원",2.5,국어/외국어
스피드 영문법 Extended 세트,이창열,앱투스미디어,2018.11.19,"10,080원",0,국어/외국어
영어발음 자유선언 Extended 세트,이창열,앱투스미디어,2018.11.19,"6,300원",0,국어/외국어
현장출동 영어단어 Extended 세트,이창열,앱투스미디어,2018.11.19,"6,300원",0,국어/외국어
뿌리깊은 영어단어 Extended 세트,이창열,앱투스미디어,2018.11.19,"6,300원",0,국어/외국어
미국을 모르면 영어도 없다 세트,이창열,앱투스미디어,2018.11.19,"6,300원",0,국어/외국어
영단어 돌파구 Extended 세트,이창열,앱투스미디어,2018.11.19,"6,300원",0,국어/외국어
독일어의 정석 A1,김리아,나나스키즈,2021.02.25,"9,810원",10,국어/외국어
Quiz로 배우는 1Boon 영어,배시원,키메이커,2019.10.25,900원,10,국어/외국어
여우OPIc - 저레벨 패턴,최나영,빡센베어,2018.06.20,"8,820원",0,국어/외국어
가타카나 쉽게 외우기 (가타가나 46개 낱글자 분석),서울교육방송,미디어북,2017.01.18,900원,7.2,국어/외국어
오늘의 한자 - 바둑왕 이세돌(碁王 李世乭),장창훈,서울문학,2016.03.12,450원,0,국어/외국어
영어 토론을 위한 90초 스피치,장승진,프랙티쿠스,2015.01.15,"5,850원",10,국어/외국어
가장 쉬운 독일어 단어장,김미선,동양북스,2015.01.12 (종이책 출간 2013.11.15),"9,000원",8.8,국어/외국어
테마별 영단어 사전,Enjc 스터디,랭컴,2014.12.12 (종이책 출간 2013.04.15),"7,290원",9,국어/외국어
진짜 영어 성공스토리,한서영,라온북,2012.04.20 (종이책 출간 2012.04.20),"5,400원",0,국어/외국어
팝송영어. 4,유현철,음악의향기,2013.09.24 (종이책 출간 2013.09.11),"4,500원",0,국어/외국어
테마별 영어회화&단어 2300,이화승,비타민북,2015.05.12 (종이책 출간 2012.10.10),"7,020원",9.4,국어/외국어
테마별 회화 중국어 단어 2300,김현정,비타민북,2016.09.21 (종이책 출간 2012.04.10),"7,200원",9.4,국어/외국어
미스터 프레지던트,탁현민,메디치미디어,2023.02.06 (종이책 출간 2023.01.18),"15,840원",9.8,정치/사회
중등 학급경영,최선경,테크빌교육,2023.01.20 (종이책 출간 2023.01.15),"10,800원",0,정치/사회
프랑스의 자살,에릭 제무르,틈새책방,2023.02.13 (종이책 출간 2022.12.16),"25,650원",0,정치/사회
핀란드는 어떻게 복지 선진국이 되었나,일까 따이팔레,니케북스,2018.12.20,"8,640원",10,정치/사회
지리의 힘 2,팀 마샬,사이,2022.04.12 (종이책 출간 2022.04.10),"14,490원",9.8,정치/사회
예정된 전쟁,그레이엄 앨리슨,세종서적,2018.01.29 (종이책 출간 2018.01.22),"12,600원",9.3,정치/사회
지방도시 살생부,마강래,개마고원,2017.12.29 (종이책 출간 2017.10.16),"9,000원",9.3,정치/사회
레트로토피아,지그문트 바우만,아르테(arte),2018.12.20 (종이책 출간 2018.10.24),"14,400원",9.4,정치/사회
시골빵집에서 균의 소리를 듣다,와타나베 이타루,더숲,2021.12.08 (종이책 출간 2021.11.12),"10,080원",10,정치/사회
이승만 깨기: 이승만에 씌워진 7가지 누명,남정욱,백년동안,2022.08.31 (종이책 출간 2015.11.25),"7,560원",8.9,정치/사회
중국은 어떻게 실패하는가,마이클 베클리,부키,2023.02.02 (종이책 출간 2023.02.06),"12,600원",10,정치/사회
시장으로 간 성폭력,김보화,휴머니스트,2023.02.06 (종이책 출간 2023.02.06),"13,230원",0,정치/사회
어떤 양형 이유,박주영,모로,2023.01.17 (종이책 출간 2023.01.17),"10,800원",9.7,정치/사회
공공기관 경영평가 담당자는 무슨 일을 할까?,이과장,바른북스,2022.12.16 (종이책 출간 2020.11.02),"18,000원",0,정치/사회
사랑의 노동,매들린 번팅,반비,2022.10.31 (종이책 출간 2022.10.07),"13,860원",10,정치/사회
밀리터리 리뷰 이지 1912,ADBC 편집부,에이디비씨,2020.02.13,"7,650원",0,정치/사회
외롭지 않을 권리,황두영,시사IN북,2020.06.05 (종이책 출간 2020.03.16),"11,520원",9.5,정치/사회
오늘부터 조금씩 제로 웨이스트,장서영(그린라이프),비즈니스맵,2021.08.17 (종이책 출간 2021.05.31),"9,324원",9.6,정치/사회
레이디 크레딧,김주희,현실문화,2020.09.03 (종이책 출간 2020.07.27),"13,860원",10,정치/사회
상업등기. 1,이병일,윌비스,2015.04.30 (종이책 출간 2014.03.20),"13,500원",7.5,정치/사회
진보의 재구성,민경우,시대의창,2013.04.04 (종이책 출간 2009.07.17),"7,290원",10,정치/사회
판문점의 협상가 정세현 회고록,정세현,창비,2020.06.11 (종이책 출간 2020.06.05),"18,900원",10,정치/사회
"섬의 반란, 1948년 4월 3일",현길언,백년동안,2022.08.31 (종이책 출간 2014.06.25),"5,607원",9.2,정치/사회
글로벌이슈,Richard J. Payne,시그마프레스,2018.01.09 (종이책 출간 2017.12.15),"14,490원",0,정치/사회
악의 마음을 읽는 자들,권일용,알마,2018.12.11 (종이책 출간 2018.09.28),"9,072원",9.6,정치/사회
타겟티드,브리태니 카이저,한빛비즈,2020.04.21 (종이책 출간 2020.04.06),"11,340원",9.2,정치/사회
권력의 원리,줄리 바틸라나,로크미디어,2021.10.13 (종이책 출간 2021.10.13),"11,700원",9.2,정치/사회
혼돈의 시대 리더의 탄생,도리스 컨스 굿윈,커넥팅,2020.03.04 (종이책 출간 2020.02.26),"16,830원",9.6,정치/사회
집합건물 관리업무 매뉴얼,서울특별시,진한엠앤비,2018.09.21 (종이책 출간 2018.01.24),"16,380원",10,정치/사회
방송법 해설,김정태,커뮤니케이션북스,2019.11.26 (종이책 출간 2019.03.15),"25,060원",0,정치/사회
스토리텔링의 역사,이대영,커뮤니케이션북스,2018.02.21 (종이책 출간 2018.02.08),"8,640원",0,정치/사회
통치론,존 로크,까치,2023.02.15,"8,100원",0,정치/사회
평설 우리 민족의 나갈 길,박정희,기파랑,2023.02.10 (종이책 출간 2017.11.14),"7,200원",0,정치/사회
우크라이나전쟁과 신세계질서,이해영,사계절출판사,2023.02.10 (종이책 출간 2023.02.03),"11,340원",10,정치/사회
반드시 읽어야 할 사회학 베스트 30,다케우치 요우(竹內 洋),더디퍼런스,2023.02.09,"10,350원",0,정치/사회
음식 중독,마이클 모스,민음사,2023.01.26 (종이책 출간 2023.01.20),"11,340원",10,정치/사회
요건사실에 따른 소장 작성례와 관련판례,김만기,법문북스,2022.12.20 (종이책 출간 2023.01.15),"25,200원",10,정치/사회
제국의 충돌,훙호펑,글항아리,2022.11.22 (종이책 출간 2022.10.21),"10,800원",9.4,정치/사회
가족을 구성할 권리,김순남,오월의봄,2022.10.28 (종이책 출간 2022.09.08),"8,820원",10,정치/사회
