제목,저자,출판사,발매일,가격,평점,장르
데일 카네기 성공대화론,데일 카네기,현대지성,2022.10.05 (종이책 출간 2022.10.05),"7,920원",9.7,자기계발
세도나 메서드 심플 가이드,수잔 크리에글러,포르투나,2018.01.10,"1,800원",9.6,자기계발
나는 왜 일하는가,헬렌 S. 정,인라잇먼트,2012.06.07 (종이책 출간 2012.04.02),"7,200원",7.9,자기계발
당신이 플라시보다,조 디스펜자,샨티,2022.06.03 (종이책 출간 2016.04.20),"18,000원",9.9,자기계발
정상에서 만납시다,지그 지글러,산수야,2020.06.30 (종이책 출간 2020.06.10),"8,820원",8.2,자기계발
처음 20시간의 법칙,조시 카우프만,알키,2014.03.13 (종이책 출간 2014.01.20),"8,730원",7.5,자기계발
마스터리의 법칙,로버트 그린,살림Biz,2013.07.01 (종이책 출간 2013.06.27),"15,300원",9.9,자기계발
돈이 되는 글쓰기의 모든 것,송숙희,책밥,2020.04.13 (종이책 출간 2020.02.24),"10,350원",9.6,자기계발
지금까지 산 것처럼 앞으로도 살 건가요?,김창옥,수오서재,2022.08.17 (종이책 출간 2019.01.24),"10,080원",9.3,자기계발
"일어서라! 서서 일하고, 서서 공부하라!",공병호,공병호연구소,2019.03.18 (종이책 출간 2019.01.09),"8,100원",9.9,자기계발
대학원생 때 알았더라면 좋았을 것들 2,김세정,클라우드나인,2022.06.10 (종이책 출간 2022.05.12),"10,710원",9.7,자기계발
생각하라 그리고 부자가 되어라,나폴레온 힐,반니,2021.06.17 (종이책 출간 2021.01.05),"11,700원",9.9,자기계발
잘 살아라 그게 최고의 복수다,권민창,마인드셋(Mindset),2022.02.23 (종이책 출간 2022.01.21),"9,450원",8.9,자기계발
당신을 초대합니다,존 리비,천그루숲,2021.10.22 (종이책 출간 2021.10.30),"10,080원",9.3,자기계발
나는 4시간만 일한다,팀 페리스,다른상상,2017.10.19 (종이책 출간 2017.10.20),"9,324원",9,자기계발
루이스 헤이의 치유수업,루이스 헤이,센시오,2021.04.19 (종이책 출간 2021.05.03),"11,520원",9.7,자기계발
밥 프록터 부의 확신,밥 프록터,비즈니스북스,2022.07.08 (종이책 출간 2022.07.12),"10,080원",9.6,자기계발
완벽한 공부법,고영성,로크미디어,2017.02.13 (종이책 출간 2017.01.06),"11,700원",9.2,자기계발
아침형인간,사이쇼 히로시,한스미디어,2021.11.16 (종이책 출간 2021.10.20),"9,990원",9.4,자기계발
일류 아빠의 생각,손재환,라온북,2023.02.09 (종이책 출간 2023.01.19),"9,450원",9.9,자기계발
뭘 해도 되는 운명,조 비테일,유노북스,2023.02.01 (종이책 출간 2023.02.01),"12,600원",9.7,자기계발
위기의 쓸모,브루스 파일러,동아시아,2023.01.30 (종이책 출간 2023.01.25),"13,860원",0,자기계발
나는 보건교사입니다,나애정,생각의빛,2022.11.30 (종이책 출간 2022.11.30),"9,000원",10,자기계발
루이스 헤이의 긍정확언,루이스 헤이,센시오,2022.09.06 (종이책 출간 2022.09.05),"13,770원",10,자기계발
Hello!! 울프럼 알파 (Wolfram|Alpha (R)),스페이스북스 편집부,스페이스북스,2022.05.31,"10,800원",0,자기계발
술 끊기 100일 프로젝트(알콜중독에서 탈출하는 법),김우태,율도국,2017.01.03,"8,910원",10,자기계발
허니문 이펙트,브루스 립튼,미래시간,2022.05.02 (종이책 출간 2014.03.18),"9,720원",9.7,자기계발
싱크로니시티,조셉 자보르스키,에이지21,2021.05.27 (종이책 출간 2021.05.07),"11,340원",9.3,자기계발
합리적 남자,롤로 토마시,아니마,2017.09.15 (종이책 출간 2015.09.15),"7,020원",9.7,자기계발
월러스 워틀스의 가르침,월러스 워틀스,스마트비즈니스,2013.03.13 (종이책 출간 2012.01.16),"6,480원",10,자기계발
에밀 쿠에 자기암시,에밀 쿠에,연암사,2013.09.30 (종이책 출간 2009.11.10),"5,400원",8.8,자기계발
초일류 잡담력,야스다 다다시,나라원,2016.12.28 (종이책 출간 2016.12.19),"8,190원",9.6,자기계발
타인을 읽는 말,로런스 앨리슨,흐름출판,2021.01.27 (종이책 출간 2021.01.15),"11,520원",9.8,자기계발
관점을 디자인하라,박용후,쌤앤파커스,2019.01.28 (종이책 출간 2018.10.10),"10,800원",9.5,자기계발
썸 연애 결혼,정우열,경향미디어,2018.12.11 (종이책 출간 2018.12.12),"8,550원",7.7,자기계발
피크 퍼포먼스,브래드 스털버그,부키,2021.11.12 (종이책 출간 2021.11.10),"10,800원",9.5,자기계발
시크릿 데일리 티칭,론다 번,살림,2015.01.14 (종이책 출간 2015.01.01),"8,100원",10,자기계발
프레임,최인철,21세기북스,2021.07.23 (종이책 출간 2021.03.02),"14,400원",9.9,자기계발
나는 아침마다 삶의 감각을 깨운다,고토 하야토,21세기북스,2021.04.28 (종이책 출간 2021.04.14),"11,520원",9.6,자기계발
린인,셰릴 샌드버그,와이즈베리,2013.06.04 (종이책 출간 2013.06.05),"9,450원",9.1,자기계발
코칭 바이블,게리 콜린스,IVP,2017.03.01 (종이책 출간 2011.12.21),"13,500원",10,자기계발
나는 7년 동안 세계 최고를 만났다,알렉스 바나얀,알에이치코리아,2021.10.28 (종이책 출간 2019.04.12),"10,584원",9.4,자기계발
유혹의 기술,로버트 그린,웅진지식하우스,2014.11.03 (종이책 출간 2012.11.20),"13,050원",9.1,자기계발
어포메이션,노아 세인트 존,NAVI SCHOOL,2022.01.04 (종이책 출간 2021.11.15),"9,900원",9.7,자기계발
Happy Now(해피 나우),루이스 L. 헤이,Starlight,2020.10.07 (종이책 출간 2020.08.28),"8,010원",9.3,자기계발
면접바이블 2.0,면접왕 이형,얼라이브북스(Alivebooks),2022.04.25 (종이책 출간 2022.04.12),"15,147원",9.3,자기계발
돈을 좋아하는 사람 돈이 좋아하는 사람,사쿠라가와 신이치,경원북스,2019.03.13 (종이책 출간 2019.03.04),"8,190원",9.7,자기계발
지금의 나로 충분하다,이소은,수오서재,2022.04.21 (종이책 출간 2022.03.15),"10,350원",9.6,자기계발
"목표를 이뤄내는 기술, To Do List",데이먼 자하리어즈,반니,2020.02.13 (종이책 출간 2019.07.20),"7,650원",8.1,자기계발
감정의 발견,마크 브래킷,북라이프,2020.08.27 (종이책 출간 2020.09.02),"10,584원",9.6,자기계발
꿈꾸는 다락방. 2,이지성,차이정원,2018.08.31 (종이책 출간 2018.08.07),"9,900원",9.4,자기계발
비상식적 성공 법칙,간다 마사노리,생각지도,2022.06.22 (종이책 출간 2022.06.30),"11,700원",9.7,자기계발
2억 빚을 진 내게 우주님이 가르쳐준 운이 풀리는 말버릇,고이케 히로시,나무생각,2017.07.28 (종이책 출간 2017.08.14),"8,100원",9.5,자기계발
출산을 앞둔 임산부 가이드,김옥선,유페이퍼,2021.12.04,"4,500원",0,자기계발
기분을 관리하면 인생이 관리된다,김다슬,클라우디아,2022.10.05 (종이책 출간 2022.04.12),"11,214원",9.4,시/에세이
사랑은 그렇게 하는 것이 아니다,김달,빅피시,2022.10.19 (종이책 출간 2022.10.19),"10,395원",9.7,시/에세이
본성과의 대화. 4,문화영,수선재,2012.07.11 (종이책 출간 2010.07.28),"4,500원",0,시/에세이
나는 오래된 거리처럼 너를 사랑하고,진은영,문학과지성사,2023.02.03 (종이책 출간 2022.08.31),"7,560원",9.6,시/에세이
모든 것은 기본에서 시작한다,손웅정,수오서재,2022.01.12 (종이책 출간 2021.10.15),"10,080원",9.8,시/에세이
인생의 역사,신형철,난다,2022.12.05,"11,340원",10,시/에세이
연애의 기술,정순희 편역,글빛,2012.10.13 (종이책 출간 2005.12.19),"6,120원",0,시/에세이
악의 꽃,샤를 보들레르,민음사,2017.05.19 (종이책 출간 2016.05.19),"6,300원",9.8,시/에세이
조금만 긴장을 풀고,김민준,자화상,2022.05.23 (종이책 출간 2018.07.30),"8,100원",9.2,시/에세이
슬픔을 공부하는 슬픔,신형철,한겨레출판사,2019.02.15 (종이책 출간 2018.09.22),"10,080원",9.6,시/에세이
잘될 수밖에 없는 너에게,최서영,북로망스,2022.10.14 (종이책 출간 2022.08.18),"10,080원",9.5,시/에세이
한국인이 가장 사랑한 시집 세트 (전 5권),윤동주,더스토리,2016.08.25,"3,960원",10,시/에세이
사랑한다고 말할 용기,황선우,책읽는수요일,2022.01.25 (종이책 출간 2021.11.25),"9,324원",9.6,시/에세이
직업으로서의 소설가,무라카미 하루키,현대문학,2021.04.05 (종이책 출간 2016.04.25),"9,000원",9.6,시/에세이
불안,알랭 드 보통,은행나무,2013.09.30 (종이책 출간 2012.01.04),"9,450원",9.4,시/에세이
켄 윌버의 통합명상,켄 윌버,김영사,2020.03.11 (종이책 출간 2020.02.28),"9,900원",8.6,시/에세이
"어서 와, 연예기획사는 처음이지?",벨루가,마인드빌딩,2022.07.22 (종이책 출간 2022.05.17),"9,450원",9.3,시/에세이
사랑한다고 상처를 허락하지 말 것,김달,비에이블,2020.11.03 (종이책 출간 2020.04.17),"9,135원",9.4,시/에세이
아침의 피아노,김진영,한겨레출판사,2019.01.24 (종이책 출간 2018.10.05),"8,190원",9.5,시/에세이
"제인 오스틴, 19세기 영국에서 보낸 편지",퍼넬러피 휴스핼릿,허밍버드,2023.01.17 (종이책 출간 2022.12.21),"9,450원",10,시/에세이
