aladin_순위,제목,aladin_저자,aladin_출판사,aladin_출간일,aladin_평점,aladin_장르,상명대학교_학술정보관_장르,aladin_가격
  84    ,코딩 자율학습 HTML + CSS + 자바스크립트,김기수 (지은이) , 길벗 ,2022-04-01,5.0,대학교재/전문서적,강의지원도서,18900
  85    ,Do it! 알고리즘 코딩 테스트 - 파이썬 편,김종관 (지은이) , 이지스퍼블리싱 (주) ,2022-08-01,5.0,대학교재/전문서적,강의지원도서,22000
  86    ,낯선 곳에서 나를 만나다,한국문화인류학회 (엮은이) , 일조각 ,2021-01-01,4.0,대학교재/전문서적,강의지원도서,10000
  87    ,프셉마음 - 응급실편,곽수진 (지은이) , 드림널스 ,2022-04-01,5.0,대학교재/전문서적,강의지원도서,24000
  88    ,법의 정신,"샤를 드 몽테스키외 (지은이), 이재형 (옮긴이) ", 문예출판사 ,2015-06-01,4.5,대학교재/전문서적,강의지원도서,7200
  89    ,소문난 명강의 김도형의 데이터 사이언스 스쿨 수학 편,김도형 (지은이) , 한빛미디어 ,2019-11-01,5.0,대학교재/전문서적,강의지원도서,39600
  90    ,심리검사의 이해,최정윤 (지은이) , 시그마프레스 ,2016-04-01,4.0,대학교재/전문서적,강의지원도서,14000
  91    ,마이어스의 심리학 개론,"데이비드 G. 마이어스, 네이선 드월 (지은이), 신현정 (옮긴이) ", 시그마프레스 ,2022-03-01,0.0,대학교재/전문서적,강의지원도서,23100
  92    ,윤상훈·권병조의 알짜 근육학,"윤상훈, 권병조 (지은이) ", 군자출판사 ,2021-05-01,0.0,대학교재/전문서적,강의지원도서,18000
  93    ,"비언어성 학습장애, 아스퍼거 증후군",신석호 (지은이) , 시그마프레스 ,2016-06-01,0.0,대학교재/전문서적,강의지원도서,8400
  94    ,직업으로서의 학문,"막스 베버 (지은이), 이상률 (옮긴이) ", 문예출판사 ,2017-04-01,4.5,대학교재/전문서적,강의지원도서,4200
  95    ,프로그래머를 위한 선형대수,"히라오카 카즈유키, 호리 겐 (지은이), 이창신 (옮긴이) ", 길벗 ,2017-04-01,4.0,대학교재/전문서적,강의지원도서,25600
  96    ,프로테스탄티즘의 윤리와 자본주의 정신,"막스 베버 (지은이), 박성수 (옮긴이) ", 문예출판사 ,2013-10-01,4.0,대학교재/전문서적,강의지원도서,7500
  97    ,제대로 알고 쓰는 논문 통계분석 : SPSS & AMOS,노경섭 (지은이) , 한빛아카데미(교재) ,2020-12-01,5.0,대학교재/전문서적,강의지원도서,28000
  98    ,쉽게 배우는 소프트웨어 공학,김치수 (지은이) , 한빛아카데미(교재) ,2021-07-01,4.0,대학교재/전문서적,강의지원도서,30000
  99    ,프셉마음 : 소화기 간호편,박근혜 (지은이) , 드림널스 ,2022-09-01,5.0,대학교재/전문서적,강의지원도서,24000
  100    ,프셉마음 - 기초편,"드림널스 편집부, 제갈성희, 고은희 (지은이) ", 드림널스 ,2022-04-01,5.0,대학교재/전문서적,강의지원도서,24000
  1    ,우리에게는 비밀이 없다,"우샤오러 (지은이), 강초아 (옮긴이) ", 한즈미디어 ,2022-11-01,5.0,소설/시/희곡,문학,11600
  2    ,구의 증명,최진영 (지은이) , 은행나무 ,2015-03-01,4.0,소설/시/희곡,문학,6480
  3    ,아버지의 해방일지,정지아 (지은이) , 창비 ,2022-09-01,5.0,소설/시/희곡,문학,12000
  4    ,수확자,"닐 셔스터먼 (지은이), 이수현 (옮긴이) ", 열린책들 ,2023-01-01,5.0,소설/시/희곡,문학,11250
  5    ,사랑의 이해,이혁진 (지은이) , 민음사 ,2019-04-01,4.0,소설/시/희곡,문학,10500
  6    ,흑뢰성,"요네자와 호노부 (지은이), 김선영 (옮긴이) ", 리드비 ,2023-02-01,5.0,소설/시/희곡,문학,11760
  7    ,이토록 평범한 미래,김연수 (지은이) , 문학동네 ,2022-10-01,4.5,소설/시/희곡,문학,9800
  8    ,작가는 어떻게 읽는가,"조지 손더스 (지은이), 정영목 (옮긴이) ", 어크로스 ,2023-02-01,4.5,소설/시/희곡,문학,17100
  9    ,데미안 (한글판),"헤르만 헤세 (지은이), 이순학 (옮긴이) ", 더클래식 ,2012-10-01,4.5,소설/시/희곡,문학,990
  10    ,불편한 편의점,김호연 (지은이) , 나무옆의자 ,2021-04-01,4.0,소설/시/희곡,문학,9800
  11    ,살인 플롯 짜는 노파,"엘리 그리피스 (지은이), 신승미 (옮긴이) ", 나무옆의자 ,2023-02-01,4.5,소설/시/희곡,문학,11340
  12    ,로렘 입숨의 책,구병모 (지은이) , 안온북스 ,2023-01-01,5.0,소설/시/희곡,문학,9450
  13    ,배니시드,김도윤 (지은이) , 팩토리나인 ,2023-02-01,5.0,소설/시/희곡,문학,12000
  14    ,인간실격 (한글판),"다자이 오사무 (지은이), 김소영 (옮긴이) ", 미르북컴퍼니 ,2013-12-01,4.0,소설/시/희곡,문학,990
  15    ,가재가 노래하는 곳,"델리아 오언스 (지은이), 김선형 (옮긴이) ", 살림 ,2019-06-01,4.0,소설/시/희곡,문학,11200
  16    ,불편한 편의점 2 (단풍 에디션),김호연 (지은이) , 나무옆의자 ,2022-08-01,4.5,소설/시/희곡,문학,9800
  17    ,눈물을 마시는 새 세트 (1~4권),이영도 (지은이) , 황금가지 ,2013-10-01,5.0,소설/시/희곡,문학,28600
  18    ,파친코 1,"이민진 (지은이), 신승미 (옮긴이) ", 인플루엔셜(주) ,2022-10-01,4.5,소설/시/희곡,문학,12500
  19    ,파친코 2,이민진 (지은이) , 인플루엔셜(주) ,2022-10-01,5.0,소설/시/희곡,문학,12500
  20    ,나는 오래된 거리처럼 너를 사랑하고,진은영 (지은이) , 문학과지성사 ,2022-11-01,4.5,소설/시/희곡,문학,8400
  21    ,인생의 역사,신형철 (지은이) , 난다 ,2022-12-01,5.0,소설/시/희곡,문학,12600
  22    ,노인과 바다 (한글+영문판),"어니스트 헤밍웨이 (지은이), 베스트트랜스 (옮긴이) ", 더클래식 ,2013-06-01,5.0,소설/시/희곡,문학,990
  23    ,단순한 열정,"아니 에르노 (지은이), 최정수 (옮긴이) ", 문학동네 ,2016-12-01,4.0,소설/시/희곡,문학,6300
  24    ,참을 수 없는 존재의 가벼움,"밀란 쿤데라 (지은이), 이재룡 (옮긴이) ", 민음사 ,2021-06-01,4.5,소설/시/희곡,문학,11200
  25    ,어린 왕자 (한글+영문),"앙투안 드 생텍쥐페리 (지은이), 베스트트랜스 (옮긴이) ", 더클래식 ,2012-04-01,5.0,소설/시/희곡,문학,990
  26    ,"칵테일, 러브, 좀비",조예은 (지은이) , 안전가옥 ,2020-04-01,4.5,소설/시/희곡,문학,6300
  27    ,이토록 아름다운 세상에서,"고호관, 김백상, 곽유진 (지은이) ", 현대문학 ,2023-01-01,5.0,소설/시/희곡,문학,10080
  28    ,도롱뇽과의 전쟁,"카렐 차페크 (지은이), 김선형 (옮긴이) ", 열린책들 ,2023-02-01,4.5,소설/시/희곡,문학,10350
  29    ,밝은 밤,최은영 (지은이) , 문학동네 ,2021-07-01,5.0,소설/시/희곡,문학,10200
  30    ,쿼런틴,"그렉 이건 (지은이), 김상훈 (옮긴이) ", 허블 ,2022-12-01,5.0,소설/시/희곡,문학,12250
  31    ,싯다르타,"헤르만 헤세 (지은이), 박병덕 (옮긴이) ", 민음사 ,2014-01-01,4.5,소설/시/희곡,문학,5600
  32    ,폭풍의 언덕 (한글판 + 영문판),"에밀리 브론테 (지은이), 김명신 (옮긴이) ", 더클래식 ,2014-11-01,4.5,소설/시/희곡,문학,990
  33    ,1984 (한글+영문),"조지 오웰 (지은이), 정영수 (옮긴이) ", 더클래식 ,2013-05-01,5.0,소설/시/희곡,문학,1100
  34    ,생생하게 살아 있는 캐릭터 만드는 법,"키라앤 펠리컨 (지은이), 정미화 (옮긴이) ", 아날로그(글담) ,2023-01-01,5.0,소설/시/희곡,문학,12600
  35    ,작별인사,김영하 (지은이) , 복복서가 ,2022-05-01,4.0,소설/시/희곡,문학,10000
  36    ,멋진 신세계,"올더스 헉슬리 (지은이), 안정효 (옮긴이) ", 소담출판사 ,2018-06-01,4.5,소설/시/희곡,문학,8280
  37    ,파과,구병모 (지은이) , 위즈덤하우스 ,2018-04-01,4.5,소설/시/희곡,문학,9800
  38    ,심판,"베르나르 베르베르 (지은이), 전미연 (옮긴이) ", 열린책들 ,2020-08-01,4.5,소설/시/희곡,문학,10000
  39    ,데미안: 오리지널 초판본,"헤르만 헤세 (지은이), 이미영 (옮긴이), 김선형 (해설) ", 코너스톤 ,2017-02-01,5.0,소설/시/희곡,문학,810
  40    ,천사를 거부하는 우울한 연인에게,양안다 (지은이) , 문학동네 ,2023-02-01,5.0,소설/시/희곡,문학,8400
  41    ,왕자님의 연애편지,이경민 (지은이) , 라이스메이커 ,2022-12-01,5.0,소설/시/희곡,문학,12960
  42    ,노르웨이의 숲,"무라카미 하루키 (지은이), 양억관 (옮긴이) ", 민음사 ,2019-04-01,4.0,소설/시/희곡,문학,11000
  43    ,브람스를 좋아하세요…,"프랑수아즈 사강 (지은이), 김남주 (옮긴이) ", 민음사 ,2018-06-01,4.5,소설/시/희곡,문학,5900
  44    ,우리가 빛의 속도로 갈 수 없다면,김초엽 (지은이) , 허블 ,2019-06-01,4.5,소설/시/희곡,문학,8400
  45    ,인간 실격,"다자이 오사무 (지은이), 김춘미 (옮긴이) ", 민음사 ,2012-10-01,4.0,소설/시/희곡,문학,6300
  46    ,천 개의 파랑,천선란 (지은이) , 허블 ,2020-08-01,4.5,소설/시/희곡,문학,9800
  47    ,미키7,"에드워드 애슈턴 (지은이), 배지혜 (옮긴이) ", 황금가지 ,2022-07-01,4.0,소설/시/희곡,문학,9450
  48    ,해가 지는 곳으로,최진영 (지은이) , 민음사 ,2017-08-01,4.5,소설/시/희곡,문학,9800
  49    ,트렁크,김려령 (지은이) , 창비 ,2015-06-01,3.5,소설/시/희곡,문학,8400
  50    ,세상의 마지막 기차역,"무라세 다케시 (지은이), 김지연 (옮긴이) ", 모모 ,2022-05-01,4.5,소설/시/희곡,문학,9800
  51    ,프로젝트 헤일메리,"앤디 위어 (지은이), 강동혁 (옮긴이) ", 알에이치코리아(RHK) ,2021-05-01,5.0,소설/시/희곡,문학,12950
  52    ,오만과 편견 (한글+영문판),"제인 오스틴 (지은이), 김유미 (옮긴이) ", 더클래식 ,2013-05-01,3.5,소설/시/희곡,문학,1500
  53    ,안젤리크,"기욤 뮈소 (지은이), 양영란 (옮긴이) ", 밝은세상 ,2023-01-01,4.5,소설/시/희곡,문학,12000
  54    ,메이드,"니타 프로스 (지은이), 노진선 (옮긴이) ", 마시멜로 ,2023-02-01,5.0,소설/시/희곡,문학,12100
  55    ,아몬드,손원평 (지은이) , 창비 ,2017-03-01,4.0,소설/시/희곡,문학,8400
  56    ,종의 기원,정유정 (지은이) , 은행나무 ,2017-02-01,4.0,소설/시/희곡,문학,9100
  57    ,노인과 바다 (한글),"어니스트 헤밍웨이 (지은이), 이수정 (옮긴이) ", 더클래식 ,2012-11-01,4.0,소설/시/희곡,문학,990
  58    ,딜레마 사전,"안젤라 애커만, 베카 푸글리시 (지은이), 오수원 (옮긴이) ", 윌북 ,2022-08-01,4.5,소설/시/희곡,문학,15400
  59    ,로미오와 줄리엣 (한글판+영문판),"윌리엄 셰익스피어 (지은이), 한우리 (옮긴이) ", 더클래식 ,2013-11-01,5.0,소설/시/희곡,문학,990
  60    ,이중 작가 초롱,이미상 (지은이) , 문학동네 ,2022-11-01,5.0,소설/시/희곡,문학,10900
  61    ,여자아이 기억,"아니 에르노 (지은이), 백수린 (옮긴이) ", 레모 ,2022-12-01,5.0,소설/시/희곡,문학,11200
  62    ,1984,"조지 오웰 (지은이), 정회성 (옮긴이) ", 민음사 ,2012-07-01,4.5,소설/시/희곡,문학,6650
  63    ,이방인 (한글판),"알베르 카뮈 (지은이), 베스트트랜스 (옮긴이) ", 더클래식 ,2012-08-01,4.0,소설/시/희곡,문학,990
  64    ,"오늘 밤, 세계에서 이 사랑이 사라진다 해도","이치조 미사키 (지은이), 권영주 (옮긴이) ", 모모 ,2021-06-01,4.0,소설/시/희곡,문학,10000
  65    ,홍학의 자리,정해연 (지은이) , 엘릭시르 ,2021-07-01,4.0,소설/시/희곡,문학,9800
  66    ,데미안 (한글+영문),"헤르만 헤세 (지은이), 이순학 (옮긴이) ", 더클래식 ,2013-01-01,4.5,소설/시/희곡,문학,990
  67    ,자기만의 방 - 더클래식 세계문학 컬렉션,버지니아 울프 (지은이) , 더클래식 ,2017-08-01,4.5,소설/시/희곡,문학,990
  68    ,소년이 온다,한강 (지은이) , 창비 ,2014-05-01,5.0,소설/시/희곡,문학,9800
  69    ,동물농장,"조지 오웰 (지은이), 신동운 (옮긴이) ", 스타북스 ,2020-04-01,4.5,소설/시/희곡,문학,990
  70    ,동물 농장,"조지 오웰 (지은이), 도정일 (옮긴이) ", 민음사 ,2012-07-01,4.5,소설/시/희곡,문학,5600
  71    ,키다리 아저씨 (한글판 + 영문판),"진 웹스터 (지은이), 허윤정 (옮긴이) ", 더클래식 ,2015-09-01,4.5,소설/시/희곡,문학,1100
  72    ,여자 없는 남자들,"무라카미 하루키 (지은이), 양윤옥 (옮긴이) ", 문학동네 ,2020-04-01,4.5,소설/시/희곡,문학,9700
  73    ,이방인 (한글판+영문판),"알베르 카뮈 (지은이), 최헵시바 (옮긴이) ", 더클래식 ,2013-06-01,4.0,소설/시/희곡,문학,990
  74    ,햄릿 (한글+영문판),"윌리엄 셰익스피어 (지은이), 한우리 (옮긴이) ", 더클래식 ,2013-06-01,5.0,소설/시/희곡,문학,990
  75    ,유령의 마음으로,임선우 (지은이) , 민음사 ,2022-04-01,5.0,소설/시/희곡,문학,9100
  76    ,우중괴담,"미쓰다 신조 (지은이), 현정수 (옮긴이) ", 북로드 ,2022-12-01,5.0,소설/시/희곡,문학,11760
  77    ,픽션들,"호르헤 루이스 보르헤스 (지은이), 송병선 (옮긴이) ", 민음사 ,2018-11-01,4.5,소설/시/희곡,문학,7700
  78    ,우리가 세상을 이해하길 멈출 때,"벵하민 라바투트 (지은이), 노승영 (옮긴이) ", 문학동네 ,2022-06-01,4.5,소설/시/희곡,문학,12000
  79    ,수호자들,"존 그리샴 (지은이), 남명성 (옮긴이) ", 하빌리스(대원씨아이) ,2023-02-01,5.0,소설/시/희곡,문학,12600
  80    ,[세트] 모방범 (총3권),"미야베 미유키 (지은이), 양억관 (옮긴이) ", 문학동네 ,2022-02-01,0.0,소설/시/희곡,문학,29100
  81    ,리스본행 야간열차,"파스칼 메르시어(페터 비에리) (지은이), 전은경 (옮긴이) ", 비채 ,2022-12-01,5.0,소설/시/희곡,문학,12600
  82    ,지구 끝의 온실,김초엽 (지은이) , 자이언트북스 ,2021-08-01,4.5,소설/시/희곡,문학,10500
  83    ,달러구트 꿈 백화점 2,이미예 (지은이) , 팩토리나인 ,2021-07-01,4.5,소설/시/희곡,문학,9660
  84    ,프랑켄슈타인 (한글+영문),"메리 셸리 (지은이), 구자언 (옮긴이) ", 미르북컴퍼니 ,2014-06-01,4.0,소설/시/희곡,문학,1100
  85    ,인간실격 (한글판+영문판),"다자이 오사무 (지은이), 김소영 (옮긴이) ", 더클래식 ,2013-12-01,4.0,소설/시/희곡,문학,990
  86    ,유혹하는 글쓰기 : 스티븐 킹의 창작론,"스티븐 킹 (지은이), 김진준 (옮긴이) ", 김영사 ,2020-02-01,4.5,소설/시/희곡,문학,7920
  87    ,작은 땅의 야수들,"김주혜 (지은이), 박소현 (옮긴이) ", 다산책방 ,2022-09-01,4.5,소설/시/희곡,문학,12600
  88    ,지킬 박사와 하이드 (한글+영문),로버트 루이스 스티븐슨 (지은이) , 미르북컴퍼니 ,2014-06-01,0.0,소설/시/희곡,문학,990
  89    ,카라마조프가의 형제들 1 : 더클래식 세계문학 컬렉션 096,"표도르 도스토옙스키 (지은이), 장한 (옮긴이) ", 더클래식 ,2018-12-01,5.0,소설/시/희곡,문학,1490
  90    ,살육에 이르는 병,"아비코 다케마루 (지은이), 권일영 (옮긴이) ", 검은숲 ,2022-11-01,4.0,소설/시/희곡,문학,8400
  91    ,내가 나를 버린 날,"마츠무라 료야 (지은이), 권하영 (옮긴이) ", 북플라자 ,2022-06-01,4.5,소설/시/희곡,문학,11000
  92    ,흐드러지는 봉황의 색채,"이윤하 (지은이), 조호근 (옮긴이) ", 허블 ,2023-01-01,4.5,소설/시/희곡,문학,11200
  93    ,모방범 1,"미야베 미유키 (지은이), 양억관 (옮긴이) ", 문학동네 ,2022-02-01,4.5,소설/시/희곡,문학,8730
  94    ,제5도살장 (그래픽 노블),"커트 보니것 (원작), 앨버트 먼티스 (그림), 라이언 노스 (각색) ", 문학동네 ,2023-01-01,4.5,소설/시/희곡,문학,15500
  95    ,스마트폰을 떨어뜨렸을 뿐인데,"시가 아키라 (지은이), 김성미 (옮긴이) ", 북플라자 ,2018-05-01,4.0,소설/시/희곡,문학,11000
  96    ,혹시 MBTI가 어떻게 되세요?,"정대건, 임현석, 서고운 (지은이) ", 읻다 ,2023-01-01,5.0,소설/시/희곡,문학,12000
  97    ,선더헤드,"닐 셔스터먼 (지은이), 이수현 (옮긴이) ", 열린책들 ,2023-01-01,5.0,소설/시/희곡,문학,11250
  98    ,하얼빈,김훈 (지은이) , 문학동네 ,2022-08-01,4.5,소설/시/희곡,문학,11200
  99    ,저주토끼,정보라 (지은이) , 아작 ,2017-03-01,4.0,소설/시/희곡,문학,10000
  100    ,작별하지 않는다,한강 (지은이) , 문학동네 ,2021-09-01,4.5,소설/시/희곡,문학,9800
  1    ,음식 중독,"마이클 모스 (지은이), 연아람 (옮긴이) ", 민음사 ,2023-01-01,4.5,사회과학,인문,12600
